fips,County Population,Total Elderly Count,Elderly per Capita,Maskless per Capita,ICU Beds,Rate of Change,Density per square mile
12007,28201,5064,0.179568100421971,0.106,0,24.61,97.0
12009,601942,145752,0.242136285555751,0.068,159,170.65,535.0
12011,1952778,334596,0.171343593588211,0.026,587,944.68,1444.9
12013,14105,2670,0.189294576391351,0.034,0,11.55,25.8
12015,188910,77072,0.407982637234662,0.051,51,72.9,235.2
12017,149657,54938,0.36709275209312,0.09,40,60.42,242.8
12019,219252,35844,0.163483115319359,0.055,28,101.74,315.8
12021,384902,126707,0.329192885461754,0.04,73,148.23,160.9
12023,71686,13809,0.192631755154423,0.047,27,38.26,84.7
12027,38001,8558,0.225204599878951,0.023,8,15.52,54.7
12029,16826,3984,0.236776417449186,0.071,0,4.84,23.3
12031,957755,138594,0.144707153708412,0.049,412,544.23,1133.9
12033,318316,54571,0.171436559896455,0.019,120,176.68,453.4
12035,115081,35896,0.311919430661882,0.079,18,30.97,197.1
12037,12125,2926,0.241319587628866,0.022,0,2.26,21.6
12039,45660,8540,0.187034603591765,0.06,0,21.1,89.8
12041,18582,3838,0.206543967280164,0.016,0,8.0,48.4
12043,13811,3808,0.275722250380132,0.047,0,3.03,16.0
12045,13639,3614,0.264975438081971,0.046,0,8.55,28.1
12047,14428,2664,0.184640975880233,0.101,0,9.52,28.8
12049,26937,4695,0.174295578572224,0.114,0,10.87,43.5
12051,42022,5779,0.137523202132216,0.046,3,25.26,34.0
12053,193920,53348,0.275103135313531,0.09,44,73.68,365.6
12055,106221,38289,0.360465444686079,0.025,38,37.84,97.2
12057,1471968,214035,0.145407372986369,0.023,432,592.55,1204.9
12059,19617,3921,0.199877657134118,0.17,0,16.58,41.6
12061,159923,54133,0.338494150309837,0.054,40,59.16,274.5
12063,46414,9570,0.206187788167363,0.064,7,24.06,54.2
12065,14246,3511,0.246455145303945,0.019,0,6.74,24.7
12067,8422,1455,0.172761814295892,0.102,0,3.0,16.3
12069,367118,99386,0.270719496183788,0.047,158,155.35,316.6
12071,770577,224632,0.291511425853614,0.052,141,328.32,788.7
12073,293582,40786,0.138925410958437,0.051,60,139.39,413.1
12075,41503,10436,0.251451702286582,0.017,0,13.84,36.5
12077,8354,1256,0.150347139095044,0.022,0,4.74,10.0
12079,18493,3902,0.210998756286162,0.164,0,8.68,27.6
12081,403253,113157,0.280610435632221,0.074,90,171.81,434.5
12083,365579,106675,0.291797395364613,0.046,110,149.13,209.1
12085,161000,50760,0.31527950310559,0.027,74,50.03,269.2
12086,2716940,452607,0.166587042776064,0.032,593,2164.9,1315.5
12087,74228,17628,0.237484507194051,0.007,14,26.9,74.3
12089,88625,20231,0.228276445698166,0.09,0,50.13,113.0
12091,210738,34376,0.163121980848257,0.091,57,124.65,194.4
12093,42168,8482,0.201147789793208,0.016,8,12.26,52.0
12095,1393452,171557,0.123116547968642,0.02,388,567.61,1268.5
12097,375751,50781,0.135145348914574,0.025,66,217.61,202.4
12099,1496770,364544,0.243553785818796,0.03,401,546.9,670.2
12101,553947,125451,0.226467514040152,0.027,166,222.29,622.2
12103,974996,247630,0.253980529150889,0.025,279,378.35,3347.5
12105,724777,148168,0.204432535800667,0.05,145,309.06,334.9
